,x,y,Redshift,Halo_ID,Halo_SFR,Halo_Volume,Number_of_Subhalos,Mass,Age_Myr,Age_Log(yrs),Z,ccSNRate,IMF,ccSNe,Mean,Std,FWHM
948,4351.83070325071,20245.540620660988,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,2072412.8,27.86040425917724,7.44498741382004,0.027671067,347.6720209254611,imf_chab100,II-other,126.2306275755904,109.96701519455428,258.9525316723594
949,4352.169298580309,20249.048690305353,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1521358.0,54.18615720281306,7.733888352621728,0.024086457,116.35415081815397,imf_chab100,II-other,42.84217970087431,73.18304868776966,172.3329100064359
950,4350.017460502039,20250.730195417593,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1070965.4,27.376476426584695,7.437377550190755,0.022175932,224.09067027858754,imf_chab100,II-other,204.68280973571223,109.96701519455428,258.9525316723594
952,4350.008579313066,20245.253462217523,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1713796.9,65.2724153587032,7.814729683747732,0.029820563,49.18511722406678,imf_chab100,II-other,8.155073056213809,28.20294873227714,66.41286900374641
953,4352.403539939474,20245.70640285515,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1241843.4,10.259314334578828,7.011118336345048,0.028349975,291.3166231540872,imf_chab100,II-other,259.1302795621277,126.4931751135297,297.8686643169498
954,4352.549709507989,20245.824818708126,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,789567.56,23.62440287168699,7.373360840131197,0.022213327,103.63567358333827,imf_chab100,II-other,204.1489339798158,109.96701519455428,258.9525316723594
955,4351.696005217952,20249.423180440383,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1542212.2,47.363909058096176,7.675447538569208,0.024718242,65.09751912928068,imf_chab100,II-other,38.564513824786246,73.18304868776966,172.3329100064359
956,4351.909893852387,20246.807670287813,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1299669.5,90.4560067067921,7.956437411361647,0.008608454,33.19855286151953,imf_chab100,II-other,29.513237373107614,9.540662325102112,22.466542886022037
957,4351.940978013792,20249.776947801147,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1019394.1,12.20820853964666,7.086651939257943,0.023104455,166.05511038075906,imf_chab100,II-other,201.72651106678322,143.60375966571974,338.16101180264377
959,4352.208893881148,20245.463650356553,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1469070.1,11.842968364329742,7.073460569167079,0.025091816,32.030876920285884,imf_chab100,II-other,181.16396624792816,143.60375966571974,338.16101180264377
960,4349.947521138876,20245.35263549439,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1176406.2,37.27217819480355,7.571384773766493,0.023051312,251.27848339322418,imf_chab100,II-other,69.83254235093469,111.35848071105085,262.22918256257486
961,4351.390714347002,20245.188333498387,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1464398.5,63.72596249534146,7.804316403627518,0.02510871,41.56607360885818,imf_chab100,II-other,13.67022962518893,28.20294873227714,66.41286900374641
962,4352.11601144647,20249.22039329217,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,798586.3,163.50516768033563,8.213531483354638,0.01991003,12.411757550662061,imf_chab100,II-other,9.943983742348154,5.686463745668124,13.390598813641073
963,4349.850938208794,20245.63979393785,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1663718.5,30.39809990004949,7.482846437927385,0.020498296,211.09634487364357,imf_chab100,II-other,142.5836879939118,136.3899957918208,321.17389603226644
964,4349.673314429332,20245.31118994585,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1775661.5,53.11036007529513,7.725179245839843,0.023207061,89.50486683261389,imf_chab100,II-other,48.79636072886376,73.18304868776966,172.3329100064359
965,4352.596335750098,20246.532353429648,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1211991.9,24.472002625128383,7.388669510563689,0.027118178,147.65968695549617,imf_chab100,II-other,134.12403666241494,109.96701519455428,258.9525316723594
966,4350.843041026995,20249.864279492715,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1059175.8,152.68266284878828,8.183789725618496,0.039178796,11.482906779429936,imf_chab100,II-other,14.379469346366381,5.686463745668124,13.390598813641073
967,4351.4791561871925,20249.497190348495,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1296125.8,132.13970289418953,8.121033325996144,0.022978032,5.850369728660676,imf_chab100,II-other,5.12886998573806,2.3840515697138045,5.614012424749567
969,4352.34692235977,20247.792002065664,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1185319.4,126.8283147788103,8.103216221837723,0.025039813,6.139073698356008,imf_chab100,II-other,5.181727715805028,2.3840515697138045,5.614012424749567
971,4350.161779822852,20250.75831918267,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1234379.2,23.018588496143355,7.36207868909696,0.020964002,243.18618599100108,imf_chab100,II-other,221.98512407836557,109.96701519455428,258.9525316723594
973,4350.742387551967,20250.114432982125,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1015160.0,177.04067982452275,8.248073068584542,0.024632243,17.86236739658006,imf_chab100,II-other,11.030992001237578,5.686463745668124,13.390598813641073
975,4351.843654984629,20245.160209733305,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1535253.2,69.6677393176448,7.843031718130357,0.015738716,27.149957227135953,imf_chab100,II-other,24.63767363508429,28.20294873227714,66.41286900374641
976,4351.711177249114,20245.152808742496,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1932889.4,18.044972464416276,7.256356223687785,0.025135437,168.55753283533605,imf_chab100,II-other,159.1908474777456,100.54780920269624,236.77199659445648
977,4349.615956750547,20245.40592262823,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1314329.6,61.70208392145238,7.790299832109482,0.02484989,10.006001316308014,imf_chab100,II-other,13.973174734720605,28.20294873227714,66.41286900374641
978,4351.189037347405,20250.903378602565,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1030590.9,56.2167743650206,7.749865922814263,0.020860933,70.66174214198787,imf_chab100,II-other,64.68143506037637,73.18304868776966,172.3329100064359
979,4351.977982967847,20245.873665247476,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,989878.75,56.81363622072766,7.754452586145059,0.02061695,35.75170441737038,imf_chab100,II-other,18.92777048443469,28.20294873227714,66.41286900374641
