id,sfr,sfrd,snr,snr_solar,snrd,mass,z,halo_volume
271049.0,33.655346,3.611451635511793e+16,0.03680593693261151,2.8726115206793723e-08,39495318554093.53,692006225.13,1.4955121664955555,9.319063190287074e-16
4966.0,5.1679807,969978226063665.5,0.011427798480246084,8.795920060276088e-09,2144883338608.8591,381386892.58,1.4955121664955555,5.327934752692886e-15
60549.0,3.6820977,1873086889929477.2,0.0018346837451835914,1.1521267809857124e-09,933305509593.1047,57467983.58,1.4955121664955555,1.965791186621691e-15
140270.0,27.415403,2.1990405719112356e+16,0.021735352540674633,1.657706884809157e-08,17434331379968.213,4053718308.8,1.4955121664955555,1.2466983715617697e-15
98056.0,16.252398,5021859535533410.0,0.018809707105206224,1.3678226742635865e-08,5812047365986.879,2739814272.62,1.4955121664955555,3.2363306629749666e-15
283467.0,11.425158,1.1442096064226148e+16,0.014225666898012471,1.1380653063717678e-08,14246756782246.748,902643438.84,1.4955121664955555,9.985196712096217e-16
85352.0,2.0785365,523863114076182.2,0.01410081146451607,1.0304694421761054e-08,3553892368405.6157,373409561.94,1.4955121664955555,3.967709205229004e-15
136712.0,2.3844001,1389239326937024.5,0.007316082058572517,5.123366866986958e-09,4262618893057.1357,225144944.85999998,1.4955121664955555,1.716335014253514e-15
152876.0,21.605616,9524476198913564.0,0.031150421298904784,2.3806046473792458e-08,13732144746419.113,1976898523.33,1.4955121664955555,2.2684308878281944e-15
165295.0,11.444931,6125823640975057.0,0.004859190985138978,3.4185491525579383e-09,2600849844597.3354,1247905163.87,1.4955121664955555,1.868308928034744e-15
151957.0,10.590649,9973082247912186.0,0.013387764122839355,1.0343675379907772e-08,12607090718682.566,1925099647.54,1.4955121664955555,1.061923358971305e-15
182785.0,4.675988,3021923236143159.5,0.0019523136331936841,1.35998790832593e-09,1261710238004.6885,154845521.42,1.4955121664955555,1.5473549903828469e-15
