start
end
         79616896 function calls (79561187 primitive calls) in 53.050 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.041    0.041 _morestats.py:1(<module>)
        3    0.000    0.000    0.040    0.013 _internal.py:56(clone_module)
    27291    0.010    0.000    0.039    0.000 <frozen _collections_abc>:804(get)
        2    0.000    0.000    0.039    0.020 selectors.py:1(<module>)
        1    0.000    0.000    0.039    0.039 _linprog.py:1(<module>)
   530709    0.039    0.000    0.039    0.000 fromnumeric.py:2299(_sum_dispatcher)
   353811    0.039    0.000    0.039    0.000 _ufunc_config.py:462(__init__)
      258    0.001    0.000    0.039    0.000 std.py:1464(display)
     9826    0.025    0.000    0.039    0.000 {built-in method builtins.sum}
   476305    0.038    0.000    0.038    0.000 multiarray.py:1085(copyto)
   582674    0.038    0.000    0.038    0.000 multiarray.py:115(empty_like)
    10673    0.017    0.000    0.037    0.000 _docscrape.py:168(_is_at_section)
        3    0.000    0.000    0.037    0.012 expr.py:1(<module>)
     3020    0.004    0.000    0.037    0.000 frame.py:5129(group_by)
        1    0.000    0.000    0.037    0.037 config_init.py:1(<module>)
    10040    0.003    0.000    0.037    0.000 _docscrape.py:77(read_to_next_empty_line)
   582684    0.035    0.000    0.035    0.000 _stride_tricks_impl.py:510(_broadcast_arrays_dispatcher)
     6142    0.005    0.000    0.035    0.000 various.py:237(normalize_filepath)
      110    0.001    0.000    0.034    0.000 _distn_infrastructure.py:1874(__init__)
    15100    0.009    0.000    0.034    0.000 expr.py:22(parse_into_expression)
        1    0.000    0.000    0.033    0.033 _distn_infrastructure.py:1(<module>)
       91    0.000    0.000    0.033    0.000 _support_alternative_backends.py:86(wrapper)
     5410    0.002    0.000    0.033    0.000 _docscrape.py:573(dedent_lines)
   470064    0.033    0.000    0.033    0.000 fromnumeric.py:2543(_all_dispatcher)
    15100    0.009    0.000    0.032    0.000 expr.py:228(_parse_inputs_as_iterable)
     3020    0.005    0.000    0.032    0.000 expr.py:927(exclude)
      625    0.001    0.000    0.032    0.000 inspect.py:863(getdoc)
       66    0.001    0.000    0.032    0.000 _axis_nan_policy.py:425(axis_nan_policy_decorator)
   176900    0.032    0.000    0.032    0.000 _type_check_impl.py:84(real)
     8785    0.005    0.000    0.032    0.000 __init__.py:280(_compile)
    11206    0.032    0.000    0.032    0.000 {built-in method posix.stat}
        3    0.000    0.000    0.031    0.010 datetime.py:1(<module>)
   235053    0.031    0.000    0.031    0.000 {built-in method builtins.all}
   235032    0.031    0.000    0.031    0.000 {method 'is_empty' of 'builtins.PyDataFrame' objects}
       33    0.000    0.000    0.030    0.001 typing_extensions.py:2942(__call__)
        1    0.000    0.000    0.030    0.030 datetime.py:38(ExprDateTimeNameSpace)
   176900    0.029    0.000    0.029    0.000 {built-in method math.prod}
        3    0.000    0.000    0.029    0.010 _basic.py:1(<module>)
    24387    0.016    0.000    0.029    0.000 <frozen os>:709(__getitem__)
       16    0.000    0.000    0.029    0.002 base.py:8085(get_values_for_csv)
   247163    0.029    0.000    0.029    0.000 {method 'height' of 'builtins.PyDataFrame' objects}
        4    0.000    0.000    0.028    0.007 frame.py:1386(_get_values_for_csv)
        4    0.000    0.000    0.028    0.007 managers.py:619(get_values_for_csv)
        4    0.000    0.000    0.028    0.007 managers.py:396(apply)
        8    0.000    0.000    0.028    0.004 blocks.py:624(get_values_for_csv)
   235472    0.028    0.000    0.028    0.000 {built-in method numpy.asarray}
        1    0.000    0.000    0.028    0.028 _linprog_ip.py:1(<module>)
        1    0.000    0.000    0.028    0.028 _linprog_util.py:1(<module>)
        1    0.000    0.000    0.028    0.028 _remove_redundancy.py:1(<module>)
        1    0.000    0.000    0.027    0.027 interpolative.py:1(<module>)
        1    0.000    0.000    0.027    0.027 _plr.py:1(<module>)
24195/634    0.012    0.000    0.026    0.000 copy.py:118(deepcopy)
    11872    0.026    0.000    0.026    0.000 {method 'sub' of 're.Pattern' objects}
 1276/634    0.003    0.000    0.025    0.000 copy.py:217(_deepcopy_dict)
     6771    0.003    0.000    0.025    0.000 frame.py:6443(slice)
   411936    0.025    0.000    0.025    0.000 shape_base.py:15(_atleast_1d_dispatcher)
        1    0.000    0.000    0.025    0.025 base_events.py:1(<module>)
   353800    0.025    0.000    0.025    0.000 fromnumeric.py:1592(_squeeze_dispatcher)
     3020    0.008    0.000    0.024    0.000 series.py:267(__init__)
     6673    0.024    0.000    0.024    0.000 {method 'findall' of 're.Pattern' objects}
        2    0.000    0.000    0.024    0.012 __config__.py:1(<module>)
      254    0.001    0.000    0.024    0.000 std.py:1150(__str__)
        5    0.000    0.000    0.023    0.005 array.py:1(<module>)
        1    0.000    0.000    0.023    0.023 f2py2e.py:1(<module>)
      943    0.000    0.000    0.023    0.000 __init__.py:226(compile)
      437    0.004    0.000    0.023    0.000 doccer.py:29(docformat)
     1233    0.000    0.000    0.023    0.000 inspect.py:3346(signature)
       70    0.000    0.000    0.023    0.000 _util.py:1148(decorator)
        1    0.001    0.001    0.023    0.023 processing.py:29(load_coeff_file)
    12080    0.005    0.000    0.023    0.000 frame.py:10225(lazy)
        1    0.000    0.000    0.023    0.023 _plr.py:34(rt_32)
     1233    0.000    0.000    0.023    0.000 inspect.py:3081(from_callable)
      152    0.001    0.000    0.023    0.000 _compiler.py:745(compile)
1667/1233    0.003    0.000    0.022    0.000 inspect.py:2501(_signature_from_callable)
        1    0.000    0.000    0.022    0.022 _multicomp.py:1(<module>)
      254    0.005    0.000    0.022    0.000 std.py:464(format_meter)
      131    0.000    0.000    0.022    0.000 _distn_infrastructure.py:833(_construct_doc)
     9060    0.009    0.000    0.022    0.000 opt_flags.py:148(_eager)
        1    0.000    0.000    0.021    0.021 _interpolate.py:1(<module>)
   176900    0.021    0.000    0.021    0.000 {built-in method math.isnan}
   235033    0.021    0.000    0.021    0.000 _polynomial_impl.py:707(_polyval_dispatcher)
        1    0.000    0.000    0.020    0.020 _qmc.py:1(<module>)
     6771    0.020    0.000    0.020    0.000 {method 'slice' of 'builtins.PyDataFrame' objects}
     3020    0.003    0.000    0.020    0.000 group_by.py:76(agg)
        1    0.000    0.000    0.020    0.020 _optimize.py:1(<module>)
      766    0.000    0.000    0.020    0.000 utils.py:378(disp_len)
     9060    0.004    0.000    0.019    0.000 col.py:210(__call__)
    64411    0.019    0.000    0.019    0.000 {built-in method numpy.empty}
     1132    0.019    0.000    0.019    0.000 {built-in method _io.open_code}
        5    0.000    0.000    0.019    0.004 _typing.py:1(<module>)
      766    0.000    0.000    0.019    0.000 utils.py:374(_text_width)
      633    0.001    0.000    0.019    0.000 _docscrape.py:366(_parse_summary)
     3020    0.006    0.000    0.019    0.000 selectors.py:526(exclude)
        1    0.000    0.000    0.019    0.019 _rotation.py:1(<module>)
   235037    0.018    0.000    0.018    0.000 numeric.py:91(_zeros_like_dispatcher)
        3    0.000    0.000    0.018    0.006 series.py:1(<module>)
      146    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1648(_fill_cache)
     3071    0.002    0.000    0.018    0.000 <frozen genericpath>:16(exists)
      624    0.001    0.000    0.018    0.000 _docscrape.py:599(__str__)
      154    0.018    0.000    0.018    0.000 {built-in method posix.listdir}
     3108    0.004    0.000    0.018    0.000 contextlib.py:272(contextmanager)
     4685    0.009    0.000    0.017    0.000 functools.py:35(update_wrapper)
        2    0.000    0.000    0.017    0.008 config.py:1(<module>)
        1    0.000    0.000    0.016    0.016 capi_maps.py:1(<module>)
      628    0.003    0.000    0.016    0.000 _docscrape.py:548(__str__)
        1    0.000    0.000    0.016    0.016 _arraypad_impl.py:1(<module>)
        1    0.000    0.000    0.016    0.016 cli.py:1(<module>)
     3766    0.001    0.000    0.016    0.000 _docscrape.py:85(read_to_next_unindented_line)
        1    0.000    0.000    0.016    0.016 _index_tricks_impl.py:1(<module>)
     1192    0.005    0.000    0.015    0.000 inspect.py:2397(_signature_from_function)
        1    0.000    0.000    0.015    0.015 _new_distributions.py:1(<module>)
        4    0.000    0.000    0.015    0.004 _distribution_infrastructure.py:1326(_combine_docs)
     9060    0.006    0.000    0.015    0.000 col.py:40(_create_col)
        1    0.000    0.000    0.015    0.015 _fitpack_py.py:1(<module>)
        1    0.000    0.000    0.014    0.014 crackfortran.py:1(<module>)
   176905    0.014    0.000    0.014    0.000 fromnumeric.py:3006(_max_dispatcher)
   144430    0.014    0.000    0.014    0.000 {method 'startswith' of 'str' objects}
        3    0.000    0.000    0.014    0.005 version.py:1(<module>)
        2    0.000    0.000    0.014    0.007 indexing.py:1(<module>)
   109662    0.009    0.000    0.014    0.000 utils.py:375(<genexpr>)
     9214    0.002    0.000    0.014    0.000 <frozen os>:808(getenv)
       52    0.000    0.000    0.014    0.000 dataclasses.py:1264(wrap)
     2778    0.004    0.000    0.014    0.000 <frozen importlib._bootstrap>:304(acquire)
       52    0.001    0.000    0.014    0.000 dataclasses.py:921(_process_class)
        1    0.000    0.000    0.014    0.014 horizontal.py:1(<module>)
        1    0.000    0.000    0.013    0.013 defmatrix.py:1(<module>)
  599/465    0.000    0.000    0.013    0.000 typing.py:392(inner)
    24389    0.007    0.000    0.013    0.000 <frozen os>:791(encode)
       25    0.000    0.000    0.013    0.001 _util.py:290(decorator)
        2    0.000    0.000    0.013    0.006 _linalg.py:1(<module>)
      152    0.000    0.000    0.013    0.000 _parser.py:969(parse)
  643/152    0.001    0.000    0.012    0.000 _parser.py:452(_parse_sub)
      474    0.001    0.000    0.012    0.000 _array_api.py:744(_make_capabilities_note)
        1    0.000    0.000    0.012    0.012 _minimize.py:1(<module>)
  833/155    0.004    0.000    0.012    0.000 _parser.py:512(_parse)
        3    0.000    0.000    0.012    0.004 datetimes.py:1(<module>)
     3020    0.005    0.000    0.012    0.000 series.py:498(numpy_to_pyseries)
    15151    0.006    0.000    0.012    0.000 wrap.py:12(wrap_df)
    15100    0.004    0.000    0.012    0.000 expr.py:253(_is_iterable)
    20713    0.007    0.000    0.012    0.000 _docscrape.py:57(seek_next_non_empty_line)
        1    0.000    0.000    0.012    0.012 _discrete_distns.py:1(<module>)
        1    0.000    0.000    0.011    0.011 _ndimage_api.py:1(<module>)
        8    0.000    0.000    0.011    0.001 _docscrape.py:626(__init__)
    89185    0.008    0.000    0.011    0.000 _docscrape.py:64(eof)
   176900    0.011    0.000    0.011    0.000 numeric.py:393(_full_like_dispatcher)
     5043    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
   176900    0.011    0.000    0.011    0.000 _type_check_impl.py:80(_real_dispatcher)
     3020    0.005    0.000    0.011    0.000 lit.py:31(lit)
     1396    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:416(__enter__)
   176934    0.011    0.000    0.011    0.000 multiarray.py:710(result_type)
    12080    0.011    0.000    0.011    0.000 {method 'lazy' of 'builtins.PyDataFrame' objects}
     3020    0.001    0.000    0.011    0.000 _utils.py:297(looks_like_url)
     4409    0.001    0.000    0.010    0.000 __init__.py:179(sub)
    43153    0.009    0.000    0.010    0.000 {method 'join' of 'str' objects}
     3412    0.002    0.000    0.010    0.000 __init__.py:164(match)
      446    0.005    0.000    0.010    0.000 doccer.py:225(indentcount_lines)
      398    0.002    0.000    0.010    0.000 _util.py:524(getfullargspec_no_self)
   157490    0.010    0.000    0.010    0.000 {method 'strip' of 'str' objects}
     3020    0.003    0.000    0.010    0.000 lazy.py:573(first)
        4    0.000    0.000    0.010    0.002 frame.py:702(__init__)
