_idx,x,y,mtl,age_sfs,mass_solar,id,initial_mass_solar,age_Myr,age_bin,halo_id,halo_SFR,redshift,halo_volume,number_of_subhalos,RandomRate
2432,16206.329989560025,4082.5841377482534,0.060888615,0.2460898,1214363.2,109239118001,1579722.5,135.25093932548015,8.131140289989004,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2433,16206.762207423382,4082.594129085848,0.057111558,0.24765252,1050089.9,109224247740,1352988.9,115.46930761922125,8.06246656169151,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2434,16206.720761874842,4082.491255313577,0.05271521,0.24961293,1065015.8,109279716199,1353989.4,90.57355955498858,7.957001435918891,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2435,16206.593464832893,4082.8106080670673,0.031986874,0.24534394,1317430.1,108844073302,1705351.9,144.67240950508886,8.160385714655991,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2436,16206.600865823704,4082.6381649811733,0.055662468,0.24729066,1101974.1,109272032887,1422951.6,120.05518412207738,8.07938091813733,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2437,16206.439524224026,4082.590428590443,0.072289884,0.24499452,969413.5,109204095262,1269559.6,149.0820208053867,8.173425270979308,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2438,16206.785890593977,4082.4139149596026,0.06374731,0.24619459,1351780.5,109266048539,1757629.4,133.9263161230848,8.126865922972353,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2439,16206.325548965538,4082.162651321573,0.054977667,0.24845597,1343994.4,108556135212,1722554.9,105.27680475024547,8.022332695225094,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2440,16206.821415349868,4082.246652567276,0.04786904,0.24719456,1177295.2,109228626868,1519188.1,121.27216194279767,8.08376111989258,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2441,16206.216014301537,4082.1326773087885,0.05461877,0.24823534,1149088.8,109364551020,1474866.0,108.07715356505598,8.033733898122893,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2442,16206.63935097592,4082.5290003667124,0.044997104,0.24540752,898896.06,109231800763,1170438.5,143.86999242048938,8.157970220724755,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2443,16206.676355929976,4082.87351648896,0.05683645,0.2426164,772784.1,109154114551,1022196.6,179.01524459337548,8.252890016236169,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,2.8634071475162374e-7
2444,16206.802172773761,4082.6004199280374,0.06362778,0.24265233,1514827.2,109089517738,2004226.9,178.56430304403315,8.25179464301556,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,1.781260661174115e-7
2445,16206.64527176857,4082.049416162166,0.06315374,0.24598962,1210018.6,109287320689,1575141.1,136.51729533998625,8.135187675515223,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2446,16207.06564804663,4082.3954124825755,0.03438787,0.25262478,1119460.9,109387629296,1364392.6,52.15357496753059,7.717284083337002,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.000013112329439397898
2447,16206.793291584787,4081.951723083462,0.043092195,0.2461718,1410662.9,108213361898,1827195.8,134.21458595303238,8.127799715942453,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2448,16206.258940048241,4082.4039236220083,0.061906137,0.24339902,1558136.2,109169113310,2055573.0,169.1791449775506,8.228346825727845,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2449,16206.652672759381,4082.6289137426597,0.06133362,0.24304338,1183408.1,109131808099,1563230.8,173.65082385473318,8.239676848082807,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2450,16206.46912818727,4082.6100412160918,0.036131777,0.24655484,1491680.1,109027093432,1921566.2,129.37035472268167,8.111834768949588,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,2.178388746619983e-7
2451,16206.602346021866,4082.733637762634,0.028554084,0.25001058,1325293.0,109431636574,1658591.4,85.51293496456891,7.932031812492471,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,9.403270676702446e-6
2452,16206.503172745,4082.5996798289566,0.05768157,0.2473044,984897.7,108958993205,1271776.1,119.88081323178478,8.078749680393717,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2453,16206.451365809324,4082.574146410659,0.05904706,0.24603514,1644685.8,109214049569,2140020.8,135.94173626319517,8.133352812479794,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2454,16206.515014330298,4082.648896417849,0.06748818,0.24497639,1102351.8,109252013222,1443495.5,149.31054404051912,8.174090477898652,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2455,16206.714841082192,4082.5737763611182,0.058274683,0.24921592,1075743.5,109300331262,1371818.5,95.62240386029242,7.980559657265416,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2456,16206.741484649112,4082.164871618816,0.0142232,0.25347722,1557453.0,109438619303,1854347.5,41.24215452252366,7.615341345088733,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.00010961060765067528
2457,16206.646751966731,4082.4083642164946,0.04406998,0.24986254,1298679.0,108217291044,1641653.4,87.3974010812173,7.941498518299529,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.000021728535048979717
2458,16206.7340836583,4082.4919954126576,0.05861539,0.24900383,1003901.6,109403141894,1282108.1,98.31830382331574,7.992634377541859,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2459,16206.827336142518,4081.9461723403538,0.05838997,0.24879651,1541946.4,109395545077,1972033.9,100.95234573355904,8.004116414684363,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2460,16207.076009433764,4082.343605546899,0.033854086,0.25121662,1246400.6,109369541466,1544994.2,70.1421878563746,7.845979308154148,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,9.410099915465739e-6
