,Unnamed: 0,id,sfr_IIP,sfrd_IIP,snr_IIP,snrs_IIP,snrd_IIP,mass,z,halo_volume,sfr_II-Other,sfrd_II-Other,snr_II-Other,snrs_II-Other,snrd_II-Other,sfr_Ib,sfrd_Ib,snr_Ib,snrs_Ib,snrd_Ib,sfr_Ic,sfrd_Ic,snr_Ic,snrs_Ic,snrd_Ic,sfr_total,sfrd_total,snr_total,snrs_total,snrd_total,sfr_IIP_ratio,snr_IIP_ratio,snrs_IIP_ratio,sfr_II-Other_ratio,snr_II-Other_ratio,snrs_II-Other_ratio,sfr_Ib_ratio,snr_Ib_ratio,snrs_Ib_ratio,sfr_Ic_ratio,snr_Ic_ratio,snrs_Ic_ratio
25,25,6.0,1.9826267,5241815210899454.0,0.0002107765013274,1.2762280230075878e-10,557266514547.83,10698888.5,0.0095216669679447,3.7823284878060343e-16,1.9826267,5241815210899454.0,2.4056966708901576e-05,1.4883795221022312e-11,63603589128.91774,1.9826267,5241815210899454.0,5.02300513897866e-05,3.099407991187467e-11,132801927573.78111,1.9826267,5241815210899454.0,0.0,0.0,0.0,7.9305068,2.0967260843597816e+16,0.0002850635194260882,1.7350067743365576e-10,753672031250.5288,0.25,0.7394018769983317,0.7355752391777257,0.25,0.08439160071178141,0.08578522828369743,0.25,0.17620652228988684,0.1786395325385768,0.25,0.0,0.0
26,26,236914.0,8.397313,3705722721807475.0,0.0045553370205768,3.4153951155588183e-09,2010263985949.1284,126434585.93,0.0095216669679447,2.266039212967394e-15,8.397313,3705722721807475.0,0.0032379822947151,2.408200279300288e-09,1428917150323.723,8.397313,3705722721807475.0,0.0028454029675939,2.103580492996791e-09,1255672431134.9556,8.397313,3705722721807475.0,0.0012497990788071,8.69755424289211e-10,551534621137.717,33.589252,1.48228908872299e+16,0.0118885213616929,8.796931312145108e-09,5246388188545.523,0.25,0.38317103380534534,0.388248469195559,0.25,0.2723620706228868,0.27375458484886755,0.25,0.23934035873984588,0.2391266247688637,0.25,0.10512653683192198,0.09887032118670977
27,27,278872.0,0.1695741,1575555487002692.8,2.1846210014447423e-05,1.6007347522026506e-11,202978615593.2764,1364761.4,0.0095216669679447,1.0762813585359319e-16,0.1695741,1575555487002692.8,0.0001762156975779,1.291183188343249e-10,1637264235605.5137,0.1695741,1575555487002692.8,0.0001010123773112,7.401467927745529e-11,938531328356.9108,0.1695741,1575555487002692.8,7.098506940126013e-06,5.201280560928829e-12,65954008065.15992,0.6782964,6302221948010771.0,0.0003061727918436735,2.2434162619473552e-10,2844728187620.861,0.25,0.07135255188057898,0.07135255188054859,0.25,0.5755432953946891,0.5755432953947038,0.25,0.3299195095127041,0.3299195095127297,0.25,0.02318464321202776,0.023184643212017884
28,28,75187.0,4.1790867,2712488935234170.5,0.0003006898593776,2.073941175117531e-10,195166545958.25815,9876112.85,0.0095216669679447,1.5406834091432773e-15,4.1790867,2712488935234170.5,0.0001493663895478,9.00876312356256e-11,96948139157.84972,4.1790867,2712488935234170.5,8.952532567045569e-05,4.371235953047864e-11,58107541847.44401,4.1790867,2712488935234170.5,1.0356260386690649e-06,4.82004832153375e-13,672186143.1901457,16.7163468,1.0849955740936682e+16,0.0005406172006345247,3.4167611311001076e-10,350894413106.742,0.25,0.5561973592861622,0.6069903910577958,0.25,0.27628863708459156,0.2636638260006772,0.25,0.16559836713552478,0.12793507609472368,0.25,0.001915636493721521,0.0014107068468031361
29,29,319760.0,0.1525689,483509131899564.2,0.0018414330443472,2.05522748267472e-09,5835722042457.689,71896146.01,0.0095216669679447,3.155450226981277e-16,0.1525689,483509131899564.2,0.0007464972049093,7.636651067302517e-10,2365739121873.348,0.1525689,483509131899564.2,0.0014102886698021,1.6099713716403487e-09,4469373840041.092,0.1525689,483509131899564.2,0.0007930757823931,8.587015777044709e-10,2513352217099.927,0.6102756,1934036527598256.8,0.0047912947014516994,5.2875655387497915e-09,15184187221472.055,0.25,0.3843289046255639,0.3886906871627476,0.25,0.15580281561122114,0.14442659880690858,0.25,0.29434396289061515,0.30448253734950687,0.25,0.1655243168725999,0.16240017668083692
30,30,260155.0,0.6397896,2302739347514329.0,9.704666434047053e-05,5.239179602767039e-11,349291661699.123,4892553.4,0.0095216669679447,2.778384799350456e-16,0.6397896,2302739347514329.0,0.0002626302031818,1.252028055969128e-10,945262165425.2314,0.6397896,2302739347514329.0,0.0001620208773961,7.711547144418211e-11,583147724656.5314,0.6397896,2302739347514329.0,5.78788150887549e-06,2.7524834723373028e-12,20831821100.621513,2.5591584,9210957390057316.0,0.0005274856264272461,2.5746255654110264e-10,1898533372881.5073,0.25,0.18397973229675438,0.20349287574679348,0.25,0.4978907291951083,0.4862952006651296,0.25,0.3071569523012337,0.29952111281809246,0.25,0.010972586206903572,0.010690810769984264
31,31,130805.0,0.5866972,2170589880446611.2,0.0005686168725952,4.917760610547231e-10,2103698516894.9417,9672273.7,0.0095216669679447,2.7029389811735593e-16,0.5866972,2170589880446611.2,0.0005717483122017,4.6144496784966854e-10,2115283830615.6775,0.5866972,2170589880446611.2,0.0005228333687636,3.7574846842786733e-10,1934314360795.1396,0.5866972,2170589880446611.2,0.0002213618515529,2.1562593144497415e-10,818967254143.6067,2.3467888,8682359521786445.0,0.0018845604051133998,1.5445954287772332e-09,6972263962449.365,0.25,0.3017238773840123,0.31838502943391056,0.25,0.30338550605773557,0.2987481118048937,0.25,0.277429880912806,0.2432665935864679,0.25,0.11746073564544617,0.13960026517472782
32,32,170697.0,5.5713005,2075583511677356.8,0.0014137607122466,9.67551891678684e-10,526695414077.2626,48762137.21,0.0095216669679447,2.684209268697468e-15,5.5713005,2075583511677356.8,0.0014241407139507,9.662177519912883e-10,530562475347.4513,5.5713005,2075583511677356.8,0.0007885096466971,5.197288618671146e-10,293758633461.4739,5.5713005,2075583511677356.8,0.0002861277697993,2.111254192126783e-10,106596670064.48305,22.285202,8302334046709427.0,0.0039125388426937,2.6646239247497657e-09,1457613192950.671,0.25,0.3613410036520573,0.3631101119718223,0.25,0.3639940128927153,0.36260942604950364,0.25,0.20153401113692918,0.19504773526940475,0.25,0.07313097231829835,0.07923272670926913
33,33,17207.0,0.18536985,639505580815240.1,0.0006242456543848,4.787805664994688e-10,2153578803558.4148,8223502.5,0.0095216669679447,2.8986431950084156e-16,0.18536985,639505580815240.1,0.0004020133339068,2.8992011193891957e-10,1386901756653.4932,0.18536985,639505580815240.1,0.0001581472894053,1.1607978455521294e-10,545590742860.82794,0.18536985,639505580815240.1,1.069945329988566e-05,7.613671793608279e-12,36911936309.755424,0.7414794,2558022323260960.5,0.0011951057309967856,8.923941347872095e-10,4122983239382.4917,0.25,0.5223350856699046,0.5365124532263241,0.25,0.33638306927998596,0.3248789975609272,0.25,0.1323291197619781,0.13007681250940992,0.25,0.00895272528813138,0.008531736703338767
34,34,281556.0,4.4865413,5017802403667203.0,0.000741681838186,4.814109085698137e-10,829505996168.1633,18793776.9,0.0095216669679447,8.941247460683312e-16,4.4865413,5017802403667203.0,0.0002648038019788,1.8590344147452856e-10,296159795535.5377,4.4865413,5017802403667203.0,0.0002096108910408,1.3825579530175255e-10,234431372090.45895,4.4865413,5017802403667203.0,0.0004765689303718,2.9992458437146246e-10,533000492903.7112,17.9461652,2.0071209614668812e+16,0.0016926654615773999,1.1054947297175574e-09,1893097656697.8713,0.25,0.43817390678889645,0.43547101187249376,0.25,0.15644190065296695,0.1681631187170155,0.25,0.1238348012639562,0.12506237396271938,0.25,0.2815493912941805,0.27130349544777127
